Joseph Politano,George Washington University,49:31.00,-76.73
Thomas Washington,George Mason University,50:31.00,-88.73
Benjamin Beddoes,Virginia Tech,51:31.00,-100.73
Jeremy Schimmel,George Mason University,52:31.00,-112.73
Keith Montminy,Virginia Tech,53:31.00,-124.73
Cole Deans,Virginia Tech,54:31.00,-136.73
Kyle Patzwahl,George Washington University,55:31.00,-148.73
Nick Maguire,University of Virginia,56:31.00,-160.73
Tannysen Ser,University of Maryland Baltimore County,57:31.00,-172.73
Richard Bimmer,James Madison University,58:31.00,-184.73
John Bowman,James Madison University,59:31.00,-196.73
Justin Drew,University of Maryland Baltimore County,60:31.00,-208.73
Ken Hawrey,University of Virginia,61:31.00,-220.73
Cameron von Kannewurff,James Madison University,62:31.00,-232.73
Isaac Gritz,George Washington University,63:31.00,-244.73
William Buccella,Virginia Tech,64:31.00,-256.73
